Nome do equipamento,Funcionário atribuído,Número de série,Categoria de equipamento,Custo,Modelo
PRCA's Headset,Priscila Castro (prca),42M44GV3Z6BZ8UUG,Headset,179.24,Sony MDR-ZX110
PRCA's Notebook,Priscila Castro (prca),95RLRDIHSA,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
PRCA's Estacionamento,Priscila Castro (prca),,Estacionamento,0.00,
YURA's Notebook,Yuri Ramos (yura),7HEZ74LAV7,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
YURA's Headset,Yuri Ramos (yura),1448N7ODKEF828XG,Headset,191.25,Plantronics Blackwire 3220
LEMA's Headset,Leandro Machado (lema),8Y72IVGLYE088O98B,Headset,223.75,Logitech H390 USB
LEMA's Notebook,Leandro Machado (lema),V78HU7F0I9,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
ALFE's Headset,Alexandre Ferreira (alfe),G5DZX5QJICJDAN08,Headset,191.25,Plantronics Blackwire 3220
ALFE's Notebook,Alexandre Ferreira (alfe),5RNTDR5XYF,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
ROMO's Notebook,Roberto Monteiro (romo),C4KL8CGN0T,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
ROMO's Headset,Roberto Monteiro (romo),6DVWRB7F6FDHGZZ0,Headset,191.25,Plantronics Blackwire 3220
ROMO's Armário (120),Roberto Monteiro (romo),,Armário,0.00,
ELNO's Notebook,Elisa Nogueira (elno),JKIBU4FMPK,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
ELNO's Headset,Elisa Nogueira (elno),XVHAGKC4LORXDTG5,Headset,191.25,Plantronics Blackwire 3220
CLBA's Headset,Clara Barros (clba),NQJQIJC1YDMT8VT4,Headset,179.24,Sony MDR-ZX110
CLBA's Notebook,Clara Barros (clba),3PT5R5RC6Z,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
CLBA's Armário (67),Clara Barros (clba),,Armário,0.00,
RAFO's Headset,Rafael Fonseca (rafo),S62YWE1G983EP9P9,Headset,191.25,Plantronics Blackwire 3220
RAFO's Notebook,Rafael Fonseca (rafo),W4J66CNOLJ,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
Notebook,,Q52WSPOFV1,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook,,77UDKTMONR,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook (No Estoque),,VBJFVYB6LI,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Notebook,,076A3KKRZD,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook (No Estoque),,5E9P3JPXGH,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Headset (No Estoque),,30153SFLSE45BG34,Headset,179.24,Sony MDR-ZX110
Headset (No Estoque),,IQ7ZJ3SWEBNVG5VM,Headset,949.88,Corsair HS50 Pro
Notebook (No Estoque),,F60YKNFU84,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Headset (No Estoque),,XYJOA21A6XVAJ2K8,Headset,223.75,Logitech H390 USB
Notebook (No Estoque),,XPNMJQY3OD,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook,,SX4NXVKDC9,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook (No Estoque),,X5JZ6KF162,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Notebook (No Estoque),,2VXYZX9JPN,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Headset (No Estoque),,BZUG0IT26YS445GD,Headset,191.25,Plantronics Blackwire 3220
Monitor,,EJ31GYMDM0L2,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,LJK4Q5V7C6S5,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,NKB4EHOU6QLZ,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,2RWGWAJ1G1R1,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Internet e Outros Equipamentos,,DWWO8NBHNAL3GY,Internet e Outros Equipamentos,"1,248.61",Epson EcoTank L3250
Monitor,,WIYMENVG3KK0,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,VM59M6MG87OI,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,0E0VGNXB5JTB,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,9XXAYPNTRFZW,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,KXXJVE3DZEED,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,HHJSHZKBRH7L,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,AY64YFDS0DJI,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Internet e Outros Equipamentos,,9KQDGBK2L0D1,Internet e Outros Equipamentos,"1,374.99",Rode NT-USB Mini
Monitor,,B4XGMPW5D3GO,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Internet e Outros Equipamentos,,8JN42X2EZC7FO,Internet e Outros Equipamentos,"6,846.25",Canon EOS M50 Mark II
Notebook,,V2YGNMBY49,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,E7EOBJLZY1UU,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,9YMSZDXIMYN4,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,U9BXF445CRI8,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,BIXOIQ2Q4QER,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,XDOUADVWKSHY,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,8NBIQUWRXZ,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor (No Estoque),,E1HM38KSZBFF,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,ZZDVG7OQ2ZDO,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,74V1QX8ERTB7,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,4RS7GU0ENV5S,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,N961J88QEOZ0,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,KZ4Z7WHWKMY9,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook,,X8SYLEMRUY,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
Notebook (No Estoque),,P04K43SAFY,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
Notebook (No Estoque),,H1FKJ4YK1B,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
Notebook (No Estoque),,3D5050UI22,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,KX7N89LTAJW2,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,536ZX1TV18KG,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,YGGSNPUEVJLZ,Monitor,631.94,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,FFLB7WXRUM2L,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,HGCSOTDHHLMH,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,1T939AYQ6WW8,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,YL68NTK63N2Q,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,B6GS8G8TACY1,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,5PDTZ91X70FQ,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,LDB2UUIJNWPA,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,YTXW1VZC7D2K,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,D1POXRTEO2T8,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,FY620N8TTEAV,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,T8K06MOXSFH4,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,GG24479QTKCD,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,0RLEXDW6LQWL,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,VUNLPAIH0P4E,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,05QMKTGV44,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook,,FTJ5CCASBU,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,OV6TT9Q1NI10,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,KQSOSX43WFSQ,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,G8X80RMHRCNB,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,H6NQQB9LZS34,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,JTGXNX4SN6SM5RRV,Headset,179.24,Sony MDR-ZX110
Notebook,,SFFCXHGNZE,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,I3ZRRHF4ABUF,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,WBUCJG8VUA,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Notebook (No Estoque),,ZXKDQ95G3V,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
Monitor,,23GXJ0MQVIND,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,H4SPFDRWB2SE,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,REV361XSNB,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Monitor,,TI22NV01ZDER,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,I4K5OGZ2UEAX,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,YLNFXJ4PNJ,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Monitor,,Y1O2RNTJLMZ0,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,4X0QZFHOMTZZF8AD,Headset,223.75,Logitech H390 USB
Monitor,,F7PCHCBN9WSZ,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,V83XPHX2KBVS,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook,,IGBIAF92MO,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Notebook (No Estoque),,VS0CDK36M8,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
Monitor,,JVH7UJODCK82,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,853UY8U118QQ,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,VAECW9YIL8,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Monitor,,SA3IDY3C7RM6,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,J8Y6RH05HHIWFD7Y,Headset,179.24,Sony MDR-ZX110
Monitor,,XW1TBRWR965R,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,96KHUB2RTSOY,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,G9ZQYAHULWJT,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,IQWNRHZN4KGE,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,UIDJIPNF8F3G,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,R94SZ2KUUOYC,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,3RWQMMU7JA,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,E58HUXG2MYR0,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,6NKWFG3MWU4C,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,FILKJXJQ5NV8,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,OGA0X7ZCGDC5TAO1,Headset,223.75,Logitech H390 USB
Headset (No Estoque),,CJFX5LIKWE4BX4LR,Headset,223.75,Logitech H390 USB
Monitor,,9TJQ8ZGVWWUS,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,XLMT2PNJKA34MQA7,Headset,223.75,Logitech H390 USB
Monitor,,8RAPKIANOUOF,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,0ONJPI163Y,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
Monitor,,K03O4GKWWJWG,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,ABTGDJZ0IFRM,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,L29Q2L48C1,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,CQG433E1I1P0,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,BQ1S9RYLLWB7,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,SJWH55HEWLGJE2AB,Headset,223.75,Logitech H390 USB
Notebook (No Estoque),,2RVNDFDW79,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Monitor,,WCXZ2EI9212P,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,GYME6RPKZGGM0J36,Headset,223.75,Logitech H390 USB
Notebook (No Estoque),,TCFKJNAWNG,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Monitor,,A41IZXTNSRTW,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,LXDSC4E5HRDU,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,4XSZJNVC7H,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
Monitor,,R6C2CU7ONZ3J,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook,,BCK88D0TGS,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Monitor,,IWG0ODWMQX5G,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,GOMF9PML9LN1,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,P0VUH17J8Q,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
Notebook (No Estoque),,O09VS9KKH4,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
Monitor,,A3YJTU7FBMEN,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,UI3DO7002G3Y,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,U6VK0UCC1M3O,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,55IXVA1NKBTFSHB0,Headset,223.75,Logitech H390 USB
Monitor,,OQVSHKOECUBO,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Headset (No Estoque),,DS1EEURXHW0IC1L7,Headset,223.75,Logitech H390 USB
Monitor,,DYPMLVAK9W9P,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,FB3HN14EB875,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,3AYEQAHTHS,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Headset (No Estoque),,JR0FZAUXBGK2WBXA,Headset,223.75,Logitech H390 USB
Monitor,,NJ4X5A5XIN9D,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,L5TGSQ7AITMO,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,FMMWI9S3W5,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Headset (No Estoque),,63BTKF6XDN8WWIIF,Headset,223.75,Logitech H390 USB
Headset (No Estoque),,86LTHET25LZSE99F,Headset,223.75,Logitech H390 USB
Monitor,,77LU8EL5015O,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,OP767J2DG1,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
Headset (No Estoque),,WJUIIYMYRSVZN4RE,Headset,223.75,Logitech H390 USB
Monitor,,GB1AJO091C79,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,5RLQIOB0NL,Notebook,"4,443.62",Dell Vostro 15 - Intel Core i5
Monitor,,W0VS52SQ3B9S,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,O0USWBKOK3QP,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,WBSF3Q0E27ZE,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,OQGVZHQJY62Z,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,EEQNSN2S8NN1,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,6UXF5GZPL1QW,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook,,EEHWJQ4TA5,Notebook,"3,596.75",Lenovo IdeaPad 1 - Intel Core i5
Headset (No Estoque),,IVROCVITWU3BFXB4,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,Y4K7BPGYVYV2GQU7,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,DKNNCPTKEZJSSZWD,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,0W9RY79KVLS9MEUS,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,WRGVZ9AAWE429OMU,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,WAHK2LSLAYM0WBGL,Headset,187.82,Plantronics Blackwire 3220
Headset (No Estoque),,MY62XRW6TM2O04K0,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,LTHY25M8KB9W4UOV,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,51ZLBORIQ8HKE226,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,PARSG70S1F537YE0,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,QZSA7YVDQBSXLUL6,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,LGJLPEFJAWSHMLFZ,Headset,187.82,Plantronics Blackwire 3220
Headset (No Estoque),,KICWMPEQYDBPGVV4,Headset,191.25,Plantronics Blackwire 3220
Monitor,,ZWL3ZYT91QE3,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Monitor,,7QQYZQII4W6O,Monitor,655.36,"Dell S2421HN 23.8"" Full HD IPS"
Notebook (No Estoque),,ZX25QBRMQG,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
Notebook (No Estoque),,1VED32LX2T,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
Notebook (No Estoque),,OOWT9NM3V2,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
Notebook (No Estoque),,P2TIXC7URV,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
Notebook,,QT3G8CD31N,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
Notebook (No Estoque),,RXD356WAFF,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
Monitor,,TOUHYLU6K7P9MDA,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,9OEKNTBZ3M55IZO,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,LNNTXRGN74F9YEC,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,AZRP9DXOQ2VPGST,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,QMGVU4ISOTN9UZE,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,RYF0992QC6DR08C,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,W2LBM2QSQ0P82KB,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,700UCRGB93WKCS4,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,KEK4AEGVFQ3JZR2,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,5MDF7FR91IPWH0M,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,X1EGOK01TNZRF5A,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,7QY8YB7W8P74MJD,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,XO100VHMYGTY3AD,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,DQHKGAD7X48WZE4,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,EX6U86ZJQ7W7JP6,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,1LFC1NLC8JPR7VG,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,RF1HX6ZDCUJQ6FX,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,7XJZ6US7RP422TA,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor (No Estoque),,83RU7MYOW8DT8CQ,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,1XGBNGZ6WMDW0FG,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,ZVRCTLT4Q9BC2BE,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,3YQY5FU7BFXQ7BZ,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,EGBL2QGV3DR2H2P,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,39YL9UE421VMEFO,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,ZTP7BD4W1ARAGDX,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,5O31YHXSO7VBGR8,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,W2MAIETDN1TH1XJ,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,G2Y8RGYBXKPM21B,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,07G2RE6ZVLHYL2L,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,D05NHQR6F7QNEZW,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,9HEYCE4QGM5V2WW,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,G84D4R9V4K00ILU,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,6VFUA9BQ1BTR23Q,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,IUA08EKXDRKZ40A,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,Q15O2NQW4C6LBPJ,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,8T22C50B8Y5DNWN,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,GUCZH9IER7U8H0I,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,MJYJCMRSEZYTKW2,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,837C6QC6K8DJZR5,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,SWK8TEMPXKC5I8X,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,OMXLVZ4QKE2GJR8,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,1BMQF7ZK94YXFIB,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Headset (No Estoque),,LEJGUBLMNTFK7ORF,Headset,223.75,Logitech H390 USB
Headset (No Estoque),,QLA09LZRK79UFU6P,Headset,191.25,Plantronics Blackwire 3220
Headset (No Estoque),,Y06FTLO4QDBXVH7K,Headset,191.25,Plantronics Blackwire 3220
Monitor,,ATQYDSHLV76MF4N,Monitor,655.36,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,NKM95D0P92K38P6,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,FVDHR59C81DO6OU,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,Z1EGNTB34KUQAAJ,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,84RX6PRYIEJ9C0U,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,U5WRYESU4FCL5EF,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,JP6MKT7S1GD1T53,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,YKYYDU3ASNRM6DF,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,HG6W3STT1EQC37R,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,LN36V1MZB3I4FIE,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,ECY2C11BD2SCEJC,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,Y127H6GMD478MFS,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,0IUDUAHGK6T9DHS,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,ZNVP8GMNHIE9EDE,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,1ZUBLEKVL9PTK4G,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,C4RYG9RDPXDFOVD,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,79C9MV9E40KZUJ2,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
Monitor,,XORVORK1DJRWEDB,Monitor,631.94,"AOC 24B2XH 23.8"" Full HD IPS 75Hz"
